Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23943	5.8617e-002	-3.0803e-002	0.11821	5.1721e-004
23944	8.416e-002	-1.1257e-003	0.13073	9.2457e-004
23945	6.2351e-002	-2.5025e-003	0.13108	6.256e-004
23946	7.9202e-002	-1.9382e-002	0.12497	8.1536e-004
23947	4.5718e-002	3.8567e-003	0.13227	4.1062e-004
23948	0.23169	4.607e-002	0.12688	3.0296e-003
23949	0.20904	4.4549e-002	0.12731	2.7018e-003
23950	0.18863	4.0958e-002	0.12791	2.4043e-003
23951	0.18367	6.2084e-002	0.12088	2.3104e-003
23952	0.22936	6.6143e-002	0.11992	2.9945e-003
